County, FIPS,AgeAdjustedRateP100K
"Emmet County, Michigan(6,10)",26047,484.8
"Sequatchie County, Tennessee(6,10)",47153,484.7
"Hancock County, Iowa(7,8)",19081,484.7
"Stanly County, North Carolina(6,10)",37167,484.7
"Guernsey County, Ohio(6,10)",39059,484.6
"Hancock County, Maine(6,10)",23009,484.5
"Butts County, Georgia(7,9)",13035,484.5
"Ashtabula County, Ohio(6,10)",39007,484.5
"Jennings County, Indiana(6,10)",18079,484.4
"Baltimore County, Maryland(6,10)",24005,484.4
"Bossier Parish, Louisiana(7,9)",22015,484.4
"Decatur County, Iowa(7,8)",19053,484.3
"Whatcom County, Washington(7,8)",53073,484.3
"Stephens County, Georgia(7,9)",13257,484.3
"Kings County, New York(6,10)",36047,484.2
"Clallam County, Washington(7,8)",53009,484
"Dewey County, Oklahoma(6,10)",40043,483.9
"Shasta County, California(7,9)",6089,483.9
"Milwaukee County, Wisconsin(6,10)",55079,483.9
"Montgomery County, Missouri(6,10)",29139,483.8
"Vernon Parish, Louisiana(7,9)",22115,483.8
"Lauderdale County, Tennessee(6,10)",47097,483.7
"Essex County, New Jersey(7,8)",34013,483.6
"Vermillion County, Indiana(6,10)",18165,483.6
"Sharp County, Arkansas(6,10)",5135,483.6
"Maverick County, Texas(6,10)",48323,483.5
"Webster County, Iowa(7,8)",19187,483.5
"Fremont County, Iowa(7,8)",19071,483.5
"Trinity County, Texas(6,10)",48455,483.4
"Tehama County, California(7,9)",6103,483.3
"Gooding County, Idaho(6,10)",16047,483.3
"Henry County, Alabama(6,10)",1067,483.3
"Nassau County, Florida(6,10)",12089,483.2
"Cannon County, Tennessee(6,10)",47015,483.2
"Hoke County, North Carolina(6,10)",37093,483.2
"Rankin County, Mississippi(6,10)",28121,483.2
"Morgan County, Tennessee(6,10)",47129,483.2
"Blount County, Tennessee(6,10)",47009,483
"Liberty County, Georgia(7,9)",13179,483
"Chester County, South Carolina(6,10)",45023,483
"Noble County, Oklahoma(6,10)",40103,482.9
"Jackson County, Indiana(6,10)",18071,482.9
"Contra Costa County, California(7,8)",6013,482.9
"Newton County, Georgia(7,9)",13217,482.7
"LaFourche Parish, Louisiana(7,9)",22057,482.7
"Lawrence County, Mississippi(6,10)",28077,482.6
"Baxter County, Arkansas(6,10)",5005,482.5
"New London County, Connecticut(7,8)",9011,482.4
"Rapides Parish, Louisiana(7,9)",22079,482.4
"Cimarron County, Oklahoma(6,10)",40025,482.4
"Beauregard Parish, Louisiana(7,9)",22011,482.3
"Washington County, Indiana(6,10)",18175,482.2
"Tipton County, Tennessee(6,10)",47167,482.1
"Pawnee County, Nebraska(6,10)",31133,482.1
"Clarendon County, South Carolina(6,10)",45027,482.1
"Clay County, Indiana(6,10)",18021,482.1
"Lincoln County, West Virginia(6,10)",54043,481.9
"Surry County, North Carolina(6,10)",37171,481.9
"Aroostook County, Maine(6,10)",23003,481.9
"Bibb County, Alabama(6,10)",1007,481.7
"Plaquemines Parish, Louisiana(7,9)",22075,481.6
"St. Mary Parish, Louisiana(7,9)",22101,481.6
"Polk County, Iowa(7,8)",19153,481.5
"Orange County, Texas(6,10)",48361,481.5
"Piute County, Utah(7,8)",49031,481.5
"Wood County, West Virginia(6,10)",54107,481.4
"Roane County, Tennessee(6,10)",47145,481.4
"LaPorte County, Indiana(6,10)",18091,481.3
"Middlesex County, Connecticut(7,8)",9007,481.3
"Acadia Parish, Louisiana(7,9)",22001,481.3
"Hampshire County, West Virginia(6,10)",54027,481.2
"Clark County, Missouri(6,10)",29045,481.2
"Cayuga County, New York(6,10)",36011,481.1
"Lowndes County, Alabama(6,10)",1085,481.1
"Morgan County, Alabama(6,10)",1103,481
"Haralson County, Georgia(7,9)",13143,480.8
"Erie County, Ohio(6,10)",39043,480.6
"Clay County, North Carolina(6,10)",37043,480.5
"Clay County, Nebraska(6,10)",31035,480.4
"Bennett County, South Dakota(6,10)",46007,480.4
"Refugio County, Texas(6,10)",48391,480.4
"Washington County, Idaho(6,10)",16087,480.4
"Tyler County, West Virginia(6,10)",54095,480.3
"White County, Tennessee(6,10)",47185,480.3
"Union County, South Carolina(6,10)",45087,480.2
"Jefferson County, Indiana(6,10)",18077,480.2
"Ascension Parish, Louisiana(7,9)",22005,480
"Hinds County, Mississippi(6,10)",28049,480
"Wirt County, West Virginia(6,10)",54105,479.8
"Crawford County, Georgia(7,9)",13079,479.8
"Troup County, Georgia(7,9)",13285,479.7
"Wilcox County, Georgia(7,9)",13315,479.6
"Loup County, Nebraska(6,10)",31115,479.5
"Marshall County, Iowa(7,8)",19127,479.4
"Sumter County, South Carolina(6,10)",45085,479.4
"Alamance County, North Carolina(6,10)",37001,479.4
"Pickens County, South Carolina(6,10)",45077,479.3
"Kossuth County, Iowa(7,8)",19109,479.3
"Pulaski County, Arkansas(6,10)",5119,479.3
"Franklin Parish, Louisiana(7,9)",22041,479.2
"Montgomery County, Mississippi(6,10)",28097,479.2
"Sullivan County, New York(6,10)",36105,479.2
"Guadalupe County, New Mexico(7)",35019,479.2
"Lowndes County, Georgia(7,9)",13185,479.1
"Oxford County, Maine(6,10)",23017,479.1
"Sacramento County, California(7,9)",6067,479.1
"Lee County, North Carolina(6,10)",37105,479.1
"Pierce County, Georgia(7,9)",13229,478.9
"Elmore County, Alabama(6,10)",1051,478.9
"Clay County, Alabama(6,10)",1027,478.9
"Palo Pinto County, Texas(6,10)",48363,478.8
"Adams County, Nebraska(6,10)",31001,478.8
"Kennebec County, Maine(6,10)",23011,478.7
"East Carroll Parish, Louisiana(7,9)",22035,478.6
"Iredell County, North Carolina(6,10)",37097,478.6
"Piscataquis County, Maine(6,10)",23021,478.6
"Henry County, Georgia(7,9)",13151,478.6
"Sumner County, Tennessee(6,10)",47165,478.5
"Davidson County, North Carolina(6,10)",37057,478.5
"Tooele County, Utah(7,8)",49045,478.5
"Colleton County, South Carolina(6,10)",45029,478.5
"Hunterdon County, New Jersey(7,8)",34019,478.5
"Schenectady County, New York(6,10)",36093,478.4
"Montgomery County, Iowa(7,8)",19137,478.3
"San Bernardino County, California(7,9)",6071,478.3
"Crawford County, Indiana(6,10)",18025,478.2
"Bennington County, Vermont(6,10)",50003,478
"Shoshone County, Idaho(6,10)",16079,477.9
"Calcasieu Parish, Louisiana(7,9)",22019,477.9
"Iron County, Wisconsin(6,10)",55051,477.7
"Marinette County, Wisconsin(6,10)",55075,477.7
"Laurens County, South Carolina(6,10)",45059,477.7
"Chittenden County, Vermont(6,10)",50007,477.5
"Alleghany County, North Carolina(6,10)",37005,477.5
"Pottawattamie County, Iowa(7,8)",19155,477.5
"Wayne County, North Carolina(6,10)",37191,477.4
"Harris County, Texas(6,10)",48201,477.4
"New Madrid County, Missouri(6,10)",29143,477.4
