County, FIPS,rate
"Pickaway County, Ohio(6,10)",39129,129.5
"Washington County, Indiana(6,10)",18175,129.5
"Geauga County, Ohio(6,10)",39055,129.4
"York County, South Carolina(6,10)",45091,129.4
"Knox County, Nebraska(6,10)",31107,129.4
"Nolan County, Texas(6,10)",48353,129.4
"Allen County, Indiana(6,10)",18003,129.3
"Sutter County, California(7,9)",6101,129.3
"Berkeley County, South Carolina(6,10)",45015,129.2
"Union County, North Carolina(6,10)",37179,129.2
"Niagara County, New York(6,10)",36063,129.1
"Clarke County, Georgia(7,9)",13059,129.1
"Montezuma County, Colorado(6,10)",8083,129.1
"Creek County, Oklahoma(6,10)",40037,129.1
"Shelby County, Alabama(6,10)",1117,129.1
"White County, Georgia(7,9)",13311,129.1
"Harnett County, North Carolina(6,10)",37085,129
"Cass County, Missouri(6,10)",29037,129
"Nash County, North Carolina(6,10)",37127,128.9
"Park County, Montana(6,10)",30067,128.9
"Marion County, Florida(6,10)",12083,128.9
"Hinds County, Mississippi(6,10)",28049,128.9
"Jackson County, Missouri(6,10)",29095,128.9
"Vilas County, Wisconsin(6,10)",55125,128.9
"Kodiak Island Borough, Alaska(6,10)",2150,128.8
"Delta County, Texas(6,10)",48119,128.8
"Kay County, Oklahoma(6,10)",40071,128.8
"Macon County, Tennessee(6,10)",47111,128.7
"Comal County, Texas(6,10)",48091,128.7
"Fountain County, Indiana(6,10)",18045,128.7
"Caswell County, North Carolina(6,10)",37033,128.7
"St. Landry Parish, Louisiana(7,9)",22097,128.7
"Clermont County, Ohio(6,10)",39025,128.6
"Grafton County, New Hampshire(6,10)",33009,128.6
"Montgomery County, Alabama(6,10)",1101,128.5
"Cowlitz County, Washington(6,10)",53015,128.5
"Washtenaw County, Michigan(6,10)",26161,128.5 #  
"Warren County, Indiana(6,10)",18171,128.5
"Montgomery County, New York(6,10)",36057,128.5
"Howard County, Nebraska(6,10)",31093,128.5
"Cumberland County, New Jersey(7,8)",34011,128.5
